id,color,r,g,b,name,owner,type,topography,vegetation,climate,natural_harbor_suitability,religion,culture,population,raw_material,location,province,area,region,subcontinent,continent,impassable_mountains,sea_zones,coastal,is_lake
0,#011E1E,1,30,30,Autekan Lake,SeaZone,lake,lakes,,continental,,,,,,autekan_lake,nerskol_province,nerskol_area,harving_region,auteka,berlogoes,,,,yes
0,#011919,1,25,25,Lake Sulcas,SeaZone,lake,lakes,,continental,,,,,,lake_sulcas,sulcas_province,seulcaynia_area,harving_region,auteka,berlogoes,,,,yes
0,#011414,1,20,20,Kodan Lake,SeaZone,lake,lakes,,continental,,,,,,kodan_lake,bohem_province,kodanium_area,grayston_region,tousourilea,berlogoes,,,,yes
0,#010F0F,1,15,15,Swanlake,SeaZone,lake,lakes,,continental,,,,,,swanlake,cadrokia_province,cadrokia_area,grayston_region,tousourilea,berlogoes,,,,yes
0,#010A0A,1,10,10,Hasperian Lake,SeaZone,lake,lakes,,continental,,,,,,hasperian_lake,hasper_province,mozze_area,mozze_region,tousourilea,berlogoes,,,,yes
0,#02FFFF,2,255,255,Lake Ritimea,SeaZone,lake,lakes,,continental,,,,,,lake_ritimea,bailshe_province,batrasid_area,durninia_region,tousourilea,berlogoes,,,,yes
0,#02FAFA,2,250,250,Lake Delta,SeaZone,lake,lakes,,continental,,,,,,lake_delta,pukarres_province,woestlands_area,pukaland_region,kaltic,berlogoes,,,,yes
0,#02E6E6,2,230,230,Lake Dagrastlor,SeaZone,lake,lakes,,continental,,,,,,lake_dagrastlor,purtl_province,grenid_area,pukaland_region,kaltic,berlogoes,,,,yes
0,#02E1E1,2,225,225,Lake Iratia,SeaZone,lake,lakes,,continental,,,,,,lake_iratia,iratia_province,costia_area,easterlands_region,kaltic,berlogoes,,,,yes
0,#02DCDC,2,220,220,Lake Zebastan,SeaZone,lake,lakes,,continental,,,,,,lake_zebastan,zebastan_province,gerson_area,garson_region,lugeania,berlogoes,,,,yes
0,#02D7D7,2,215,215,Lake Bogomo,SeaZone,lake,lakes,,continental,,,,,,lake_bogomo,walvesti_province,sanxho_area,parsii_region,lugeania,berlogoes,,,,yes
0,#02D2D2,2,210,210,Lake Aldraat,SeaZone,lake,lakes,,continental,,,,,,lake_aldraat,waldium_province,dergonatsilia_area,aravia_region,lugeania,berlogoes,,,,yes
